Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","25","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","0.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","0.31","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","16","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","3","Albania","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","50","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","3.52","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","3.83","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","286","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","4","Algeria","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","23","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","2.08","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","1.59","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","41","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","7","Angola","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","335","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","41","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","4.16","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","2.58","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","7","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","249","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","18.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","18.75","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","2115","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","9","Argentina","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","13","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","190","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","14.18","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","14.5","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","1","Armenia","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","33","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","50","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","5.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","3.12","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","1235","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","10","Australia","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","16","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","10","Australia","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","197","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","16.91","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","684","Fat supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","13.81","Fc","Calculated data"
