Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2270","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","57.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","189","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.69","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3296","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","112.89","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1001","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","60.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3382","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","90.29","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","382","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","24.3","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2451","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","53.8","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","219","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","16.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2470","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","80.96","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","736","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","51.57","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3307","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","108.49","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1045","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","69.84","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3074","Fc","Calculated data"
