Country,Company,Franchise & License,Total
Albania,0,2,2
Angola,0,9,9
Antigua,0,3,3
Argentina,0,6,6
Armenia,0,7,7
Aruba,0,4,4
Australia,149,490,639
Austria,0,5,5
Azerbaijan,0,7,7
Bahamas,0,12,12
Bahrain,0,21,21
Bangladesh,0,20,20
Barbados,0,13,13
Belarus,0,8,8
Belgium,0,0,0
Bermuda,0,1,1
Bolivia,0,3,3
Bonaire,0,1,1
Botswana,0,12,12
Brazil,14,19,33
Brunei,0,16,16
Bulgaria,0,24,24
Cambodia,0,11,11
Canada,0,631,631
Chile,0,60,60
China,0,5277,5277
Colombia,0,48,48
Costa Rica,0,37,37
Croatia,0,6,6
Curacao,0,7,7
Cyprus,0,27,27
Czech Republic,0,79,79
Denmark,0,6,6
Dominica,0,1,1
Dominican Republic,0,17,17
Ecuador,0,124,124
Egypt,0,156,156
El Salvador,0,6,6
Finland,0,0,0
France,59,150,209
Georgia,0,3,3
Germany,0,149,149
Ghana,0,12,12
Gibraltar,0,0,0
Grand Cayman,0,3,3
Greece,0,8,8
Grenada,0,4,4
Guadeloupe,0,5,5
Guam,0,7,7
Guatemala,0,6,6
Guyana,0,1,1
Honduras,0,13,13
Hong Kong,0,73,73
Hungary,0,45,45
Iceland,0,8,8
India,94,216,310
Indonesia,0,573,573
Iraq,0,8,8
Ireland,0,40,40
Israel,0,0,0
Italy,0,11,11
Jamaica,0,34,34
Japan,0,1149,1149
Jordan,0,28,28
Kazakhstan,0,35,35
Kenya,0,14,14
Korea,0,215,215
Kosovo,0,2,2
Kuwait,0,66,66
Latvia,0,1,1
Lebanon,0,25,25
Lesotho,0,7,7
Lithuania,0,3,3
Luxembourg,0,0,0
Malawi,0,2,2
Malaysia,0,663,663
Malta,0,3,3
Martinique,0,1,1
Mauritius,0,21,21
Mexico,0,341,341
Military - Africa,0,0,0
Military - Asia,0,1,1
Military - Europe,0,1,1
Military - Latin America,0,0,0
Military - MENA,0,0,0
Moldova,0,2,2
Mongolia,0,10,10
Morocco,0,16,16
Mozambique,0,12,12
Myanmar,0,12,12
Namibia,0,21,21
Nepal,0,2,2
Netherlands,18,35,53
New Zealand,0,98,98
Nicaragua,0,0,0
Nigeria,0,22,22
Norway,0,0,0
Oman,0,33,33
Pakistan,0,65,65
Panama,0,38,38
Paraguay,0,2,2
Peru,0,108,108
Philippines,0,280,280
Poland,0,223,223
Portugal,0,18,18
Puerto Rico,0,86,86
Qatar,0,37,37
Romania,0,63,63
Russia,178,345,523
Saipan,0,1,1
Saudi Arabia,0,230,230
Serbia,0,5,5
Singapore,0,88,88
Slovakia,0,4,4
South Africa,93,765,858
Spain,4,93,97
Sri Lanka,0,30,30
StKitts,0,1,1
StLucia,0,4,4
StMaarten,0,3,3
StVincent,0,2,2
Suriname,0,4,4
Swaziland,0,7,7
Sweden,0,2,2
Taiwan,0,137,137
Tanzania,0,5,5
Thailand,242,333,575
Trinidad,0,57,57
Turkey,106,8,114
Uganda,0,8,8
UK,227,618,845
Ukraine,0,10,10
United Arab Emirates,0,137,137
United States,201,3956,4157
USVI,0,5,5
Venezuela,0,23,23
Vietnam,0,127,127
West Bank,0,9,9
Zambia,0,3,3
Zimbabwe,0,5,5
