Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","35383","*","Unofficial figure"
"FBS","Food Balances (2010-)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","37172","*","Unofficial figure"
"FBS","Food Balances (2010-)","3","Albania","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","2886","*","Unofficial figure"
"FBS","Food Balances (2010-)","3","Albania","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","2883","*","Unofficial figure"
"FBS","Food Balances (2010-)","4","Algeria","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","40551","*","Unofficial figure"
"FBS","Food Balances (2010-)","4","Algeria","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","42228","*","Unofficial figure"
"FBS","Food Balances (2010-)","7","Angola","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","28842","*","Unofficial figure"
"FBS","Food Balances (2010-)","7","Angola","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","30810","*","Unofficial figure"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","95","*","Unofficial figure"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","96","*","Unofficial figure"
"FBS","Food Balances (2010-)","9","Argentina","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","43508","*","Unofficial figure"
"FBS","Food Balances (2010-)","9","Argentina","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","44361","*","Unofficial figure"
"FBS","Food Balances (2010-)","1","Armenia","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","2936","*","Unofficial figure"
"FBS","Food Balances (2010-)","1","Armenia","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","2952","*","Unofficial figure"
"FBS","Food Balances (2010-)","10","Australia","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","24263","*","Unofficial figure"
"FBS","Food Balances (2010-)","10","Australia","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","24898","*","Unofficial figure"
"FBS","Food Balances (2010-)","11","Austria","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","8747","*","Unofficial figure"
"FBS","Food Balances (2010-)","11","Austria","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","8891","*","Unofficial figure"
"FBS","Food Balances (2010-)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","9736","*","Unofficial figure"
"FBS","Food Balances (2010-)","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","9950","*","Unofficial figure"
"FBS","Food Balances (2010-)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","378","*","Unofficial figure"
"FBS","Food Balances (2010-)","12","Bahamas","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","386","*","Unofficial figure"
"FBS","Food Balances (2010-)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","157977","*","Unofficial figure"
"FBS","Food Balances (2010-)","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","161377","*","Unofficial figure"
"FBS","Food Balances (2010-)","14","Barbados","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","286","*","Unofficial figure"
"FBS","Food Balances (2010-)","14","Barbados","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","287","*","Unofficial figure"
"FBS","Food Balances (2010-)","57","Belarus","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","9446","*","Unofficial figure"
"FBS","Food Balances (2010-)","57","Belarus","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","9453","*","Unofficial figure"
"FBS","Food Balances (2010-)","255","Belgium","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","11354","*","Unofficial figure"
"FBS","Food Balances (2010-)","255","Belgium","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","11482","*","Unofficial figure"
"FBS","Food Balances (2010-)","23","Belize","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","368","*","Unofficial figure"
"FBS","Food Balances (2010-)","23","Belize","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","383","*","Unofficial figure"
"FBS","Food Balances (2010-)","53","Benin","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","10872","*","Unofficial figure"
"FBS","Food Balances (2010-)","53","Benin","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","11485","*","Unofficial figure"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","11032","*","Unofficial figure"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","11353","*","Unofficial figure"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","3386","*","Unofficial figure"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","3324","*","Unofficial figure"
"FBS","Food Balances (2010-)","20","Botswana","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","2160","*","Unofficial figure"
"FBS","Food Balances (2010-)","20","Botswana","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","2254","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","206163","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","209469","*","Unofficial figure"
"FBS","Food Balances (2010-)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","7152","*","Unofficial figure"
"FBS","Food Balances (2010-)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","7052","*","Unofficial figure"
"FBS","Food Balances (2010-)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","18646","*","Unofficial figure"
"FBS","Food Balances (2010-)","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","19751","*","Unofficial figure"
"FBS","Food Balances (2010-)","29","Burundi","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","10488","*","Unofficial figure"
"FBS","Food Balances (2010-)","29","Burundi","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","11175.37","*","Unofficial figure"
"FBS","Food Balances (2010-)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","531","*","Unofficial figure"
"FBS","Food Balances (2010-)","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","544","*","Unofficial figure"
"FBS","Food Balances (2010-)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","15766","*","Unofficial figure"
"FBS","Food Balances (2010-)","115","Cambodia","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","16250","*","Unofficial figure"
"FBS","Food Balances (2010-)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","23927","*","Unofficial figure"
"FBS","Food Balances (2010-)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","25216","*","Unofficial figure"
"FBS","Food Balances (2010-)","33","Canada","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","36383","*","Unofficial figure"
"FBS","Food Balances (2010-)","33","Canada","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","37075","*","Unofficial figure"
"FBS","Food Balances (2010-)","37","Central African Republic","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","4538","*","Unofficial figure"
